task_id,model,condition,strategy,sample_id,passed,max_char_similarity,max_token_jaccard,distance_to_gold,distance_to_distractor,snippet_functions_called,n_distractor_specific_markers,distractor_specific_literals,distractor_specific_functions
fluxon_l1_001,LongCat-2.0,distractor,standard,0,False,0.574,0.562,0.613,0.426,0,6,"[""'-'"", ""'A'"", '0', '1', '10', '89']",[]
fluxon_l1_001,LongCat-2.0,distractor,standard,1,False,0.518,0.510,0.718,0.482,0,5,"[""'-'"", ""'A'"", '0', '1', '10']",[]
fluxon_l1_001,LongCat-2.0,distractor,standard,2,False,0.530,0.528,0.583,0.470,0,6,"[""'-'"", ""'A'"", '0', '1', '10', '89']",[]
fluxon_l1_001,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.654,0.500,0.579,0.346,0,5,"[""'-'"", ""'A'"", '0', '1', '10']",[]
fluxon_l1_001,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.635,0.483,0.561,0.365,0,6,"[""'-'"", ""'A'"", '0', '1', '10', '89']",[]
fluxon_l1_002,LongCat-2.0,distractor,standard,0,False,0.089,0.118,0.933,0.911,0,1,['1'],[]
fluxon_l1_002,LongCat-2.0,distractor,standard,1,False,0.577,0.525,0.576,0.423,0,5,"[""'-'"", ""'A'"", '0', '1', '10']",[]
fluxon_l1_002,LongCat-2.0,distractor,standard,2,False,0.534,0.562,0.706,0.466,0,6,"[""'-'"", ""'A'"", '0', '1', '10', '89']",[]
fluxon_l1_002,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.647,0.525,0.573,0.353,0,5,"[""'-'"", ""'A'"", '0', '1', '10']",[]
fluxon_l1_002,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.615,0.508,0.585,0.385,0,6,"[""'-'"", ""'A'"", '0', '1', '10', '89']",[]
fluxon_l1_003,LongCat-2.0,distractor,standard,0,False,0.179,0.211,0.893,0.821,0,5,"[""'-'"", ""'A'"", '0', '1', '10']",[]
fluxon_l1_003,LongCat-2.0,distractor,standard,1,False,0.639,0.551,0.616,0.361,0,6,"[""'-'"", ""'A'"", '0', '1', '10', '89']",[]
fluxon_l1_003,LongCat-2.0,distractor,standard,2,False,0.632,0.525,0.573,0.368,0,5,"[""'-'"", ""'A'"", '0', '1', '10']",[]
fluxon_l1_003,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.632,0.473,0.608,0.368,0,5,"[""'-'"", ""'A'"", '0', '1', '10']",[]
fluxon_l1_003,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.620,0.492,0.579,0.380,0,5,"[""'-'"", ""'A'"", '0', '1', '10']",[]
fluxon_l1_004,LongCat-2.0,distractor,standard,0,False,0.592,0.500,0.636,0.408,0,5,"[""'-'"", ""'A'"", '0', '1', '10']",[]
fluxon_l1_004,LongCat-2.0,distractor,standard,1,False,0.654,0.500,0.579,0.346,0,5,"[""'-'"", ""'A'"", '0', '1', '10']",[]
fluxon_l1_004,LongCat-2.0,distractor,standard,2,False,0.468,0.500,0.633,0.532,0,6,"[""'-'"", ""'A'"", '0', '1', '10', '89']",[]
fluxon_l1_004,LongCat-2.0,distractor_reminder_mild,standard,0,False,0.654,0.500,0.579,0.346,0,5,"[""'-'"", ""'A'"", '0', '1', '10']",[]
fluxon_l1_004,LongCat-2.0,distractor_reminder_strong,standard,0,False,0.632,0.525,0.573,0.368,0,5,"[""'-'"", ""'A'"", '0', '1', '10']",[]
